;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
701;20220923;535;530010.0;53;5
702;20220924;222;530010.0;53;5
703;20220925;3;530010.0;53;5
704;20220926;666;530010.0;53;5
705;20220927;551;530010.0;53;5
706;20220928;752;530010.0;53;5
707;20220929;765;530010.0;53;5
708;20220930;933;530010.0;53;5
709;20221001;220;530010.0;53;5
710;20221003;534;530010.0;53;5
711;20221004;645;530010.0;53;5
712;20221005;482;530010.0;53;5
713;20221006;537;530010.0;53;5
714;20221007;500;530010.0;53;5
715;20221008;160;530010.0;53;5
716;20221009;35;530010.0;53;5
717;20221010;468;530010.0;53;5
718;20221011;476;530010.0;53;5
719;20221012;27;530010.0;53;5
720;20221013;444;530010.0;53;5
721;20221014;607;530010.0;53;5
722;20221015;263;530010.0;53;5
723;20221016;15;530010.0;53;5
724;20221017;574;530010.0;53;5
725;20221018;656;530010.0;53;5
726;20221019;518;530010.0;53;5
727;20221020;480;530010.0;53;5
728;20221021;456;530010.0;53;5
729;20221022;142;530010.0;53;5
730;20221023;11;530010.0;53;5
731;20221024;478;530010.0;53;5
732;20221025;432;530010.0;53;5
733;20221026;464;530010.0;53;5
734;20221027;522;530010.0;53;5
735;20221028;37;530010.0;53;5
736;20221029;137;530010.0;53;5
737;20221031;451;530010.0;53;5
738;20221101;402;530010.0;53;5
739;20221102;64;530010.0;53;5
740;20221103;374;530010.0;53;5
741;20221104;460;530010.0;53;5
742;20221105;193;530010.0;53;5
743;20221106;25;530010.0;53;5
744;20221107;575;530010.0;53;5
745;20221108;769;530010.0;53;5
746;20221109;917;530010.0;53;5
747;20221110;854;530010.0;53;5
748;20221111;896;530010.0;53;5
749;20221112;380;530010.0;53;5
750;20221113;21;530010.0;53;5
751;20221114;1293;530010.0;53;5
752;20221115;42;530010.0;53;5
